"id","label","layer","maturity","traditions","domains","lifespan_stages","functions","grain_size","summary","mechanism","task_types","contexts","prerequisites","constraints","risks","observable_evidence","evidence_status","evidence_confidence","evidence_basis","directness","generalizability","effect","recommendation_status","recommendation_rationale","source_ids","source_locators","tags","provenance"
"pedagogy:analogical-case-comparison","Analogical comparison of cases","tactic","established","cognitive","general | mathematics | science | professional-workplace","middle | secondary | postsecondary | adult-workplace","transfer | explain","micro-move","Comparing two or more cases side by side and stating what they share promotes abstraction of the deep structure and later transfer.","Structural alignment forces attention to relations rather than surface features, producing a more portable schema than a single case does.","principle abstraction | transfer preparation | negotiation and judgment training","classroom | professional education | instructional materials","At least two cases sharing deep structure with different surfaces | An explicit prompt to compare and state the commonality","Merely presenting cases without comparison prompts does little | Cases must differ on surface and match on structure | Novices may align on the wrong features without guidance","Comparison prompts that elicit surface similarity | Too many cases at once overloading novices | Assuming spontaneous transfer without the explicit prompt","Stated principle and later spontaneous transfer; measure=Quality of the stated commonality plus performance on a new surface-different case; timing=After comparison and at delay; caveat=Correct comparison does not guarantee spontaneous later use","strong","moderate","Controlled experiments show explicit comparison substantially raises later transfer relative to studying cases separately.","direct-intervention","Demonstrated from classroom topics to professional negotiation training.","","candidate-default-with-fit-check","One of the few reliable levers on transfer; require an explicit comparison prompt, not just co-presentation.","source:gentner-analogical | source:transfer-taxonomy | source:rittle-johnson-star-comparison","","tactic | transfer | comparison | abstraction","new"
"pedagogy:andragogy","Andragogy (Knowles' assumptions about adult learners)","theory","disputed","instructional-design | motivational-social","professional-workplace | general","postsecondary | adult-workplace | older-adult","motivate | sequence","unit-course","A set of assumptions that adults are self-directed, bring experience, are readiness- and problem-centred, and are internally motivated; influential as design guidance but weak as an empirical theory.","The assumptions direct designers toward autonomy, experience-linking, and immediate applicability, which map onto better-evidenced motivational and prior-knowledge findings.","adult course design | workplace training design","workplace learning | continuing education | higher education","Learners with relevant experience and a real application context","The assumptions are not adult-specific: children also learn better with relevance and agency | Adult status does not confer self-direction in an unfamiliar domain | It has never been a well-tested causal theory","Withdrawing needed instruction because the learner is an adult | Assuming experience is always an asset rather than sometimes a misconception | Presenting andragogy as settled science","Actual self-direction in this domain; measure=Observed planning, monitoring, and help-seeking on a real task in the target domain; timing=At the start of a programme; caveat=Confident adults frequently over-estimate their self-direction in a new domain","contested","moderate","Widely used design heuristics whose adult-specific claims are not empirically established; reviewed critically in the adult-learning literature.","consensus-design","Design vocabulary rather than evidence; the underlying motivational findings are better sourced elsewhere.","","do-not-generalize","Use the design instincts, cite the motivation and prior-knowledge evidence instead; never withhold instruction because the learner is an adult.","source:merriam-adult-theory | source:ryan-deci-sdt","","theory | adult | contested | self-direction","new"
"pedagogy:assessment-fair-access","Fair and accessible assessment","constraint","established","psychometric | critical-equity","assessment-measurement | special-education","cross-lifespan","assess | access","program-system","Remove construct-irrelevant access barriers and verify whether accommodations preserve or alter the intended construct.","Accessible presentation and interaction reduce variance caused by sensory, motor, language, cultural, or technology barriers rather than target competence.","assessment | performance task | digital interaction","classroom | remote | high-stakes","A clearly bounded construct | Accessibility expertise, assistive-technology compatibility, and representative testing","Accommodation preserves the intended construct; modification changes it and may break comparability | Report adaptation use","Assuming identical treatment is fair | Adding access late | Silently comparing modified and unmodified scores","Comparable access to the intended construct; measure=Accessibility audit, assistive-technology completion, accommodation usability, subgroup/DIF analysis, and cognitive lab; timing=Before launch and after deployment; caveat=A subgroup score gap alone neither proves nor rules out item bias","normative-standard","high","Professional standards for fairness, accessibility, and intended score use.","normative","All assessment, especially diverse and high-stakes populations.","","candidate-default-with-fit-check","Accessibility and fairness are validity conditions, not optional enhancements.","source:testing-standards | source:wcag22","","assessment | accessibility | fairness | accommodation","inherited"
"pedagogy:assessment-for-learning-strategies","Assessment for learning as instructional strategy","framework","established","instructional-design | psychometric","assessment-measurement | general","primary | middle | secondary | postsecondary","assess | feedback | self-regulate | collaborate","lesson","Formative practice is best specified as concrete strategies: clarifying criteria, eliciting evidence, giving feedback that moves learners forward, activating peers, and activating learners as owners of their learning.","Naming discrete strategies makes formative practice implementable and auditable rather than an attitude, which is where the umbrella term fails.","formative practice design | professional development | instructional auditing","classroom | school systems | adaptive software","A specific strategy chosen rather than the general label | Evidence-eliciting tasks with diagnostic value | A planned response to the evidence","Strategy-level evidence is stronger than umbrella-level evidence | Implementation depends on teacher questioning skill | Peer and self strategies need their own training","Adopting the vocabulary without changing practice | Eliciting evidence and not acting on it | Conflating this with more testing","Strategy-level implementation and response; measure=Observation of which strategies occur plus documented instructional response to elicited evidence; timing=Per lesson and per unit; caveat=Frequency of assessment is not formative practice","strong","moderate","A well-developed strategy specification grounded in the formative assessment literature; strategy-level evidence is stronger than the umbrella construct's.","mixed-direct-and-inferential","Broad; strategies vary in individual evidence strength.","","candidate-default-with-fit-check","Implement and cite at strategy level, which is also how a retrieval system should index it.","source:wiliam-assessment | source:formative-review | source:hattie-timperley-feedback","","framework | assessment | feedback | diagnostic","new"
"pedagogy:assessment-triangle","Assessment triangle: cognition, observation, interpretation","framework","established","psychometric","assessment-measurement","cross-lifespan","assess","program-system","Align a model of the target competence, tasks that elicit relevant observations, and an interpretation model linking observations to claims.","Explicit claim-evidence-task mappings limit overinterpretation and surface construct gaps or irrelevant barriers.","diagnostic assessment | performance task | test design","classroom | program evaluation | large-scale assessment","Explicit construct and intended use | Task specification and interpretation rules","Validation is ongoing | Evidence burden rises with stakes","Choosing a task format before defining the claim | Overinterpreting sparse evidence | Ignoring construct-irrelevant language or interface demands","Traceable claim-evidence-task alignment; measure=Mapping coverage, scoring agreement, empirical fit, and documented limitations; timing=Before deployment and during monitoring; caveat=A coherent design argument still requires empirical evidence","normative-standard","high","National Academies consensus design framework.","consensus-design","Applies to assessment design across domains; not a causal intervention estimate.","","candidate-default-with-fit-check","Use as a design and review contract for any consequential pedagogical claim.","source:assessment-nrc | source:testing-standards","","assessment | validity | design | provenance","inherited"
"pedagogy:assessment-validity-precision","Validity argument and score precision","constraint","established","psychometric","assessment-measurement","cross-lifespan","assess","program-system","Support the intended interpretation and use with relevant evidence, and report uncertainty appropriate to the decision.","Reliability and error analysis bound score precision; a validity argument links score meaning to the construct, population, purpose, and consequences.","scoring | diagnosis | certification","classroom assessment | high stakes | automated scoring","Specified construct, population, use, and decision rule | Representative tasks, raters, and respondents","A reliable score can still be invalid | Local precision near thresholds may differ from aggregate reliability","Treating a test as universally valid | Using one point score without uncertainty | Repurposing formative data for unsupported high-stakes decisions","Supported interpretation with quantified uncertainty; measure=Validity evidence, scoring consistency, standard error or interval, subgroup checks, and decision consistency; timing=Before use and throughout deployment; caveat=No single coefficient establishes validity","normative-standard","high","Professional testing standards and National Academies assessment consensus.","normative","All assessment uses; required evidence depends on purpose and stakes.","","candidate-default-with-fit-check","Require proportional evidence and uncertainty for any inference that changes learner treatment.","source:testing-standards | source:assessment-nrc","","assessment | validity | reliability | high-stakes","inherited"
"pedagogy:attention-and-media-multitasking","Divided attention and media multitasking","construct","consolidating","cognitive | neuroscience","general | digital-environments","middle | secondary | postsecondary | adult-workplace","self-regulate | climate","micro-move","Concurrent media use during learning degrades performance through switching costs, and heavy media multitaskers show poorer filtering of irrelevant information.","Attention is a bottleneck: switching incurs reconfiguration costs and divided encoding produces weaker, less integrated traces.","study environment design | device policy | lecture attention","study strategies | classroom | home learning | workplace learning","Awareness of the switching cost | Environment control the learner actually has","Much of the evidence is correlational or laboratory-based | Individual-difference claims are less settled than the switching-cost claim | Blanket device bans have accessibility costs","Blanket bans that remove assistive technology | Blaming learners for environments they cannot control | Overclaiming permanent cognitive damage from media use","Performance and time under single versus divided attention; measure=Comparable tasks with and without concurrent media plus completion time; timing=During study sessions; caveat=Learners consistently underestimate their own switching cost","context-dependent","moderate","Well-established switching-cost findings plus influential but debated evidence on heavy media multitaskers' filtering ability.","mixed-direct-and-inferential","Laboratory and self-report studies dominate.","","contextual-option","Teach and design for single-task study blocks; avoid device bans that remove access supports.","source:ophir-multitasking | source:kirschner-digital-native | source:cognitive-load","","construct | attention | digital | self-regulation","new"
"pedagogy:belonging-intervention","Social-belonging intervention","tactic","disputed","motivational-social | critical-equity","general","secondary | postsecondary","climate | motivate","micro-move","Brief exercises that normalize early difficulty as common and temporary can improve persistence and achievement for students facing belonging uncertainty, under specific conditions.","Reattributing early adversity from 'I do not belong' to 'this is normal and improves' interrupts a recursive process rather than teaching anything.","transition support | persistence of underrepresented students","higher education | school transitions","A context where belonging uncertainty is actually present | An environment that can support the reframed belief | Careful non-stigmatizing delivery","Effects are heterogeneous and context-dependent, with weaker results at scale | It cannot substitute for changing an unwelcoming environment | Poor delivery can be stigmatizing","Replacing structural change with a message | Implying the problem is the learner's mindset | Overclaiming from early small studies","Persistence and achievement in the targeted group; measure=Retention, GPA, and belonging measures for the target and comparison groups; timing=Over terms and years; caveat=Effects are moderated by whether the environment actually supports belonging","contested","moderate","Influential randomized experiments with long-term effects, followed by heterogeneous replications at scale showing context dependence.","direct-intervention","Demonstrated in specific transitions; not a general treatment.","","experimental-only","Deploy only with local evaluation and alongside environmental change; never as an alternative to it.","source:walton-cohen-belonging | source:cohen-values-affirmation | source:yeager-national-mindset","","tactic | belonging | equity | contested","new"
"pedagogy:blended-online-learning","Blended and online learning designs","method","established","instructional-design","digital-environments | general | professional-workplace","secondary | postsecondary | adult-workplace","sequence | collaborate | access","program-system","Medium alone does not determine outcomes; blended designs tend to outperform both pure online and pure classroom, and interaction design explains most of the variance.","Learning depends on the instructional method, interaction, and support that the medium carries, not on delivery mode itself.","course delivery design | programme scaling | remote instruction","higher education | workplace learning | adaptive software","Designed interaction with content, peers, and instructor | Reliable access and technical support | Self-regulation support for asynchronous work","Average effects are near zero with huge heterogeneity | Comparisons are confounded by learner selection and added time | Completion and equity outcomes often diverge from learning outcomes","Attributing gains to a platform rather than a design | Ignoring the access and self-regulation demands placed on learners | Reading low completion as low learner ability","Learning and completion by design feature; measure=Common assessment plus interaction-type and completion analytics disaggregated by subgroup; timing=Across the course; caveat=Selection effects dominate naive online-versus-classroom comparisons","context-dependent","moderate","Large meta-analyses show negligible medium effects overall, with blended advantage and interaction treatment as the reliable moderators.","direct-intervention","Broad but heterogeneous; strongest evidence at postsecondary level.","","contextual-option","Design for interaction and support; never claim a benefit from the delivery mode itself.","source:bernard-distance | source:postsecondary-tech-wwc | source:garrison-coi","","method | digital | access | design","new"
"pedagogy:blooms-revised-taxonomy","Revised Bloom's taxonomy of objectives","framework","established","instructional-design | psychometric","general | assessment-measurement","cross-lifespan","sequence | assess","unit-course","A two-dimensional classification of objectives by knowledge type and cognitive process, used to align objectives, instruction, and assessment.","Making the knowledge type and the intended cognitive process explicit exposes mismatches between what is taught and what is tested.","objective writing | assessment blueprinting | curriculum alignment","curriculum design | assessment design | instructional materials","Stated objectives | Assessment items to align against","It is a classification, not a learning theory or a difficulty ordering | The levels are not a required teaching sequence | Verb lists do not determine the cognitive process a learner actually uses","Treating 'higher-order' as always better regardless of prerequisites | Assuming a verb in the objective guarantees the process in the learner | Using it to justify skipping foundational knowledge","Objective-assessment alignment; measure=Blueprint mapping of items to knowledge type and process, checked by learner think-alouds; timing=At design and review time; caveat=The same item can be recall for one learner and analysis for another","normative-standard","moderate","A widely adopted classification convention for objectives and alignment; it is not an intervention with effect evidence.","consensus-design","Used across systems; interpretation varies widely.","","contextual-option","Use for alignment auditing; do not treat level as difficulty or as a required order.","source:krathwohl-taxonomy | source:assessment-nrc","","framework | assessment | curriculum | standard","new"
"pedagogy:brain-training-transfer","Commercial brain training for academic gains","anti-pattern","deprecated","cognitive | neuroscience","general | special-education | digital-environments","cross-lifespan","practice","program-system","Brain-training and working-memory-training programmes improve performance on trained and closely similar tasks but do not produce far transfer to academic achievement or everyday cognition.","Gains reflect task-specific strategy and familiarity rather than an increase in general capacity, so nothing carries to structurally different tasks.","intervention selection | product evaluation | claims review","school systems | clinical settings | consumer products","None; this is a screening criterion","Near transfer to similar tasks is real and is often marketed as if it were far transfer | Study quality drives apparent effects; active-control designs shrink them | Absence of far transfer does not mean the underlying construct is unimportant","Diverting intervention budget from instruction | Raising family expectations on marketing claims | Time displaced from academic learning","Far transfer with an active control; measure=Untrained structurally different outcome measures against an active control group; timing=Post-training and at delay; caveat=Improvement on the trained task is expected and proves nothing","refuted","high","Convergent meta-analyses and a comprehensive consensus review find no reliable far transfer to academic or everyday outcomes.","direct-intervention","Broad across ages and products.","","avoid","Do not purchase or recommend for academic outcomes; spend the time on the domain content instead.","source:melby-lervag-wm-training | source:simons-brain-training | source:sala-gobet-music","","anti-pattern | refuted | transfer | warning","new"
"pedagogy:checking-for-understanding","Systematic checking for understanding","tactic","established","instructional-design | psychometric","general","primary | middle | secondary | postsecondary | adult-workplace","diagnose | feedback | assess","micro-move","Frequent questions answered by every learner, used to decide the next instructional move, catch misunderstanding before it is practised.","Sampling every learner's current state converts teaching from broadcast into a control loop with an actual measurement.","lesson-level monitoring | misconception detection | pacing decisions","classroom | live online | tutoring | adaptive software","Questions whose wrong answers are diagnostic | A response channel for every learner | A planned action for each likely result","Only formative if it changes the next action | Hands-up sampling systematically misses those who need it | Question design determines the diagnostic value","Asking 'any questions?' and calling it a check | Collecting responses without acting on them | Public exposure of struggling learners","Detection rate and responsive action; measure=Proportion of learners sampled, error patterns detected, and documented change in the next move; timing=Every few minutes of instruction; caveat=A high correct rate may mean the question was too easy","strong","moderate","Convergent support from expert-teacher process research, practice-guide recommendations, and the formative assessment literature.","mixed-direct-and-inferential","Broad; the diagnostic quality of the questions is the limiting factor.","","candidate-default-with-fit-check","Default instructional control loop; require diagnostic distractors and a pre-planned response.","source:rosenshine-principles | source:wiliam-assessment | source:formative-review","","tactic | diagnostic | feedback | assessment","new"
"pedagogy:classroom-climate","Classroom and school climate","construct","consolidating","sociocultural | motivational-social","general","primary | middle | secondary","climate | access","program-system","Climate dimensions covering safety, relationships, teaching quality, and institutional environment are associated with achievement and wellbeing, with relational quality mattering most for at-risk learners.","A predictable, safe, and supportive environment allows attention and risk-taking; conflictual environments consume attention and drive avoidance.","school improvement | wellbeing | behaviour support","classroom | school systems","Multi-informant measurement | Stability over time to be meaningful","Largely correlational evidence with selection confounds | Composite climate scores obscure which dimension matters | Perceptions differ sharply across student groups","Averaging away the experience of marginalized groups | Treating climate surveys as an intervention | Attributing achievement solely to climate","Dimension-level climate with subgroup breakdown; measure=Validated multi-dimensional climate measures disaggregated by group, alongside achievement; timing=Annually or termly; caveat=A good average climate can coexist with a hostile experience for a subgroup","context-dependent","moderate","Systematic review of climate dimensions plus meta-analytic evidence that affective teacher-student relationships matter most for at-risk learners.","mixed-direct-and-inferential","Primary and secondary schooling; mostly correlational.","","contextual-option","Report climate by dimension and subgroup; treat it as a condition for learning, not a substitute for instruction.","source:wang-degol-climate | source:roorda-relationships","","construct | climate | equity | belonging","new"
"pedagogy:classroom-management","Classroom management strategies","method","established","behavioral | instructional-design","general | special-education","primary | middle | secondary","climate | sequence","unit-course","Proactive management focused on relationships, clear expectations, and structured routines has small-to-moderate positive effects on behaviour, motivation, and achievement.","Predictable structure and pre-corrected expectations reduce the frequency of disruption, preserving instructional time and attention.","reducing disruption | protecting instructional time | behaviour support","classroom | intervention","Explicitly taught expectations and routines | Consistency across adults | Functional understanding of the behaviour","Reactive punishment approaches perform worse than proactive ones | Exclusionary discipline has well-documented disparate impact | Strategy effects vary by outcome type","Compliance systems that penalize disability-related behaviour | Disparate application across groups | Managing behaviour while ignoring an inaccessible task","Instructional time and behaviour, checked for disparity; measure=Time-on-instruction, disruption rate, and discipline actions disaggregated by group; timing=Continuously; caveat=Falling incident counts can reflect under-reporting or exclusion","strong","moderate","Meta-analysis of classroom management programmes plus an evidence-rated practice guide, both showing small-to-moderate effects with relationship-focused and proactive strategies favoured.","direct-intervention","Primary and secondary classrooms.","","candidate-default-with-fit-check","Prefer proactive relational strategies; audit discipline outcomes for disparate impact as a standing requirement.","source:korpershoek-classroom-management | source:behavior-wwc | source:roorda-relationships","","method | climate | equity | behavior","new"
