"from","type","to","polarity","evidence_status","rationale","source_ids","origin"
"pedagogy:andragogy","does-not-imply","pedagogy:adult-self-directed-learning","conditional","contested","Adult status does not confer self-direction in an unfamiliar domain.","source:merriam-adult-theory | source:kirschner-urban-legends","0.2.0"
"pedagogy:assessment-fair-access","part-of","pedagogy:assessment-validity-precision","positive","normative-standard","Construct-irrelevant access barriers undermine intended score interpretations.","source:testing-standards","0.1.0"
"pedagogy:assessment-fair-access","requires","pedagogy:accessibility-by-design","positive","normative-standard","Accessible delivery and interaction are prerequisites for fair digital assessment.","source:testing-standards | source:wcag22","0.1.0"
"pedagogy:assessment-for-learning-strategies","implements","pedagogy:formative-assessment-cycle","positive","strong","Strategy-level specification is what makes the cycle implementable and auditable.","source:wiliam-assessment | source:formative-review","0.2.0"
"pedagogy:assessment-validity-precision","moderates","pedagogy:curriculum-based-measurement","conditional","normative-standard","Slope interpretation is a validity claim that needs adequate data density.","source:testing-standards | source:deno-cbm","0.2.0"
"pedagogy:assessment-validity-precision","requires","pedagogy:assessment-triangle","positive","normative-standard","A validity argument depends on explicit cognition, observation, and interpretation links.","source:assessment-nrc | source:testing-standards","0.1.0"
"pedagogy:attention-and-media-multitasking","moderates","pedagogy:cognitive-load-design","negative","context-dependent","Divided attention adds load that no material-level design can remove.","source:ophir-multitasking | source:cognitive-load","0.2.0"
"pedagogy:belonging-intervention","complements","pedagogy:classroom-climate","conditional","contested","Belonging messages depend on an environment that can actually support belonging.","source:walton-cohen-belonging | source:wang-degol-climate","0.2.0"
"pedagogy:blended-online-learning","moderates","pedagogy:flipped-classroom","conditional","context-dependent","Delivery mode shapes access and interaction but does not itself produce learning.","source:bernard-distance | source:vanalten-flipped","0.2.0"
"pedagogy:blooms-revised-taxonomy","complements","pedagogy:assessment-triangle","positive","normative-standard","Both are alignment frameworks: one classifies the objective, the other the inference chain.","source:krathwohl-taxonomy | source:assessment-nrc","0.2.0"
"pedagogy:brain-training-transfer","contrasts-with","pedagogy:working-memory-capacity","negative","refuted","Capacity constrains learning, but training it does not transfer to academics.","source:melby-lervag-wm-training | source:simons-brain-training","0.2.0"
"pedagogy:checking-for-understanding","implements","pedagogy:assessment-for-learning-strategies","positive","strong","Eliciting evidence is one of the named strategies.","source:wiliam-assessment | source:rosenshine-principles","0.2.0"
"pedagogy:classroom-management","supports","pedagogy:classroom-climate","positive","strong","Proactive relational management is a main lever on classroom climate.","source:korpershoek-classroom-management | source:roorda-relationships","0.2.0"
"pedagogy:cognitive-aging-and-learning","moderates","pedagogy:spaced-repetition-scheduling","conditional","strong","Pacing control matters more as processing speed declines.","source:salthouse-aging | source:spacing-meta","0.2.0"
"pedagogy:cognitive-load-design","implements","pedagogy:cognitive-load-theory","positive","context-dependent","The design principle operationalizes the theory's account of working memory limits.","source:sweller-1988 | source:cognitive-load","0.2.0"
"pedagogy:cognitive-load-design","supports","pedagogy:multimedia-coherence","positive","context-dependent","Coherence and integrated references reduce avoidable processing and split attention.","source:cognitive-load | source:ies-study","0.1.0"
"pedagogy:cognitive-load-design","supports","pedagogy:worked-examples-fading","positive","strong","Worked examples can reduce unproductive novice search on structured tasks.","source:cognitive-load | source:worked-examples-meta","0.1.0"
"pedagogy:computational-thinking-transfer","moderates","pedagogy:computing-practices","conditional","context-dependent","Transfer claims for computing practices decline sharply with distance.","source:scherer-computational-thinking | source:transfer-taxonomy","0.2.0"
"pedagogy:computing-practices","requires","pedagogy:actionable-feedback","positive","context-dependent","Testing and debugging turn artifact behavior into information for revision.","source:cs-framework | source:feedback-meta","0.1.0"
"pedagogy:concept-mapping","contrasts-with","pedagogy:retrieval-practice","conditional","context-dependent","Direct comparison favoured retrieval practice over concept mapping for retention.","source:karpicke-blunt | source:nesbit-concept-mapping","0.2.0"
"pedagogy:conceptual-change","requires","pedagogy:prior-knowledge-diagnostic","positive","context-dependent","Existing conceptions must be elicited before they can be engaged.","source:posner-conceptual-change | source:smith-misconceptions","0.2.0"
"pedagogy:conceptual-change","supports","pedagogy:science-argumentation","positive","context-dependent","Argument from evidence is a main mechanism by which conceptions are revised.","source:osborne-argumentation | source:posner-conceptual-change","0.2.0"
"pedagogy:conceptual-procedural-iteration","moderates","pedagogy:fact-fluency","conditional","strong","Fluency without conceptual anchoring produces brittle, unadaptable performance.","source:rittle-johnson-iterative | source:adding-it-up","0.2.0"
"pedagogy:concrete-abstract-linking","supports","pedagogy:transfer-bridging","conditional","context-dependent","Mapping the same relation across forms can prepare use beyond one representation.","source:ies-study | source:transfer-taxonomy","0.1.0"
"pedagogy:contextual-interference","complements","pedagogy:interleaving-discrimination","positive","strong","The two are the motor and cognitive expressions of the same manipulation.","source:shea-morgan-contextual | source:interleaving-meta","0.2.0"
"pedagogy:contextual-interference","implements","pedagogy:desirable-difficulties","positive","strong","Random ordering is the motor-learning form of a desirable difficulty.","source:shea-morgan-contextual | source:bjork-self-regulated","0.2.0"
"pedagogy:contingent-scaffolding","should-fade-into","pedagogy:metacognitive-calibration","positive","context-dependent","Responsibility should move from external support toward learner monitoring and control.","source:scaffolding-review | source:metacognition-meta","0.1.0"
"pedagogy:contrasting-cases-invention","implements","pedagogy:productive-failure","positive","context-dependent","Invention before instruction is the canonical productive-failure design.","source:schwartz-martin-invention | source:productive-failure-meta","0.2.0"
"pedagogy:contrasting-cases-invention","precedes","pedagogy:explicit-direct-instruction","positive","context-dependent","The generation phase is only productive when consolidation follows it.","source:productive-failure-meta | source:schwartz-martin-invention","0.2.0"
"pedagogy:cooperative-structures","implements","pedagogy:structured-collaboration","positive","strong","Interdependence plus individual accountability is what makes collaboration work.","source:johnson-cooperative | source:roseth-cooperative","0.2.0"
"pedagogy:curriculum-based-measurement","supports","pedagogy:multi-tiered-support","positive","strong","Tiered routing depends on repeatable progress measurement.","source:deno-cbm | source:fuchs-rti","0.2.0"
"pedagogy:deeper-learning-competencies","requires","pedagogy:transfer-bridging","positive","context-dependent","Transferable competence depends on domain learning plus explicit conditions of use.","source:education-life-work | source:transfer-taxonomy","0.2.0"
"pedagogy:delayed-transfer-assessment","supports","pedagogy:assessment-validity-precision","conditional","context-dependent","Claims about retention or generalization require observations beyond immediate practiced performance.","source:assessment-nrc | source:transfer-taxonomy","0.1.0"
"pedagogy:delayed-transfer-assessment","supports","pedagogy:learning-vs-performance","positive","strong","Delayed transfer measurement is how the distinction becomes operational.","source:soderstrom-bjork","0.2.0"
"pedagogy:deliberate-practice-bounds","complements","pedagogy:spacing","conditional","context-dependent","Focused repetitions need scheduling and recovery; massed hours are not the target construct.","source:spacing-meta | source:hpl2","0.1.0"
"pedagogy:deliberate-practice-bounds","requires","pedagogy:actionable-feedback","positive","context-dependent","Focused correction depends on valid, specific performance information.","source:feedback-meta | source:hpl2","0.1.0"
"pedagogy:deliberate-practice-theory","contrasts-with","pedagogy:deliberate-practice-bounds","conditional","contested","The original framework's explanatory claim exceeds what meta-analysis supports.","source:ericsson-deliberate-practice | source:deliberate-practice-meta","0.2.0"
"pedagogy:desirable-difficulties","supports","pedagogy:contextual-interference","positive","strong","Random practice ordering is the motor-domain instance of the same principle.","source:shea-morgan-contextual | source:soderstrom-bjork","0.2.0"
"pedagogy:desirable-difficulties","supports","pedagogy:interleaving-discrimination","positive","context-dependent","Interleaving lowers practice performance and can raise discrimination at delay.","source:interleaving-meta | source:soderstrom-bjork | source:kornell-bjork-interleaving | source:rohrer-taylor","0.2.0"
"pedagogy:desirable-difficulties","supports","pedagogy:retrieval-practice","positive","strong","Retrieval is the canonical desirable difficulty: harder in session, better at delay.","source:bjork-self-regulated | source:retrieval-meta | source:rowland-testing-meta | source:adesope-practice-testing | source:agarwal-retrieval-classroom","0.2.0"
"pedagogy:desirable-difficulties","supports","pedagogy:spacing","positive","strong","Spacing depresses practice fluency while improving retention.","source:bjork-self-regulated | source:spacing-meta","0.2.0"
"pedagogy:developmental-context-calibration","moderates","pedagogy:early-intentional-practice","conditional","strong","Target, language, pacing, and support should follow observed development and context rather than a fixed age script.","source:hpl2 | source:early-childhood-wwc","0.1.0"
"pedagogy:dialogic-shared-reading","implements","pedagogy:responsive-language-interaction","positive","strong","Dialogic reading is a structured form of responsive adult-child language interaction.","source:whitehurst-dialogic | source:mol-dialogic-meta","0.2.0"
"pedagogy:dialogic-shared-reading","supports","pedagogy:early-vocabulary-instruction","positive","strong","Shared reading supplies meaningful contexts for taught words.","source:mol-dialogic-meta | source:marulis-vocabulary","0.2.0"
"pedagogy:differentiated-instruction","does-not-imply","pedagogy:learning-styles-matching","negative","refuted","Adapting on assessed performance is not adapting on a supposed style.","source:learning-styles | source:willingham-learning-styles","0.2.0"
"pedagogy:differentiated-instruction","requires","pedagogy:prior-knowledge-variable","positive","context-dependent","Differentiation must route on current task evidence rather than on labels.","source:deunk-differentiation | source:kli-framework","0.2.0"
"pedagogy:digital-natives-myth","supports","pedagogy:attention-and-media-multitasking","positive","refuted","No group multitasks without switching cost, whatever their device familiarity.","source:kirschner-digital-native | source:ophir-multitasking","0.2.0"
"pedagogy:disciplinary-literacy","requires","pedagogy:knowledge-and-comprehension","positive","context-dependent","Disciplinary reading presumes the background knowledge to contextualize sources.","source:shanahan-disciplinary | source:recht-leslie","0.2.0"
"pedagogy:dual-coding","supports","pedagogy:multimedia-learning-theory","positive","context-dependent","Dual coding supplies the two-channel assumption the theory builds on.","source:clark-paivio | source:mayer-multimedia-2017","0.2.0"
"pedagogy:early-math-progression","requires","pedagogy:prior-knowledge-diagnostic","positive","context-dependent","A progression should be navigated from observed mathematical strategies, not chronological age alone.","source:early-math-wwc | source:hpl2","0.1.0"
"pedagogy:early-number-magnitude","supports","pedagogy:early-math-progression","positive","strong","Magnitude representation is an early anchor point in mathematical progressions.","source:siegler-ramani-games | source:early-math-nrc","0.2.0"
"pedagogy:early-science-engineering","precedes","pedagogy:science-three-dimensional","positive","context-dependent","Early investigation practices lay groundwork for three-dimensional science learning.","source:preschool-science-nasem | source:science-framework","0.2.0"
"pedagogy:early-vocabulary-instruction","supports","pedagogy:reading-comprehension-knowledge","positive","strong","Vocabulary depth is a component of later comprehension.","source:marulis-vocabulary | source:reading-comprehension-wwc","0.2.0"
"pedagogy:elaborative-interrogation","complements","pedagogy:self-explanation","positive","context-dependent","Both prompt generated explanation; self-explanation targets the learner's own reasoning.","source:dunlosky-techniques | source:chi-self-explanation","0.2.0"
"pedagogy:engagement-construct","does-not-imply","pedagogy:icap-engagement-hypothesis","conditional","context-dependent","Behavioural engagement is not the cognitive engagement ICAP orders.","source:fredricks-engagement | source:icap","0.2.0"
"pedagogy:errorful-learning","requires","pedagogy:actionable-feedback","positive","strong","Errors help only when the correction actually arrives.","source:metcalfe-errors | source:feedback-meta","0.2.0"
"pedagogy:errorful-learning","supports","pedagogy:pretesting","positive","context-dependent","The pretesting benefit is a case of errorful generation followed by correction.","source:metcalfe-errors | source:richland-pretesting","0.2.0"
"pedagogy:executive-function-curricula","does-not-imply","pedagogy:transfer-bridging","negative","contested","EF gains do not reliably transfer to academic outcomes.","source:diamond-ling | source:melby-lervag-wm-training","0.2.0"
"pedagogy:executive-function-curricula","implements","pedagogy:executive-function-development","conditional","contested","Curricula attempt to operationalize EF development with inconsistent results.","source:blair-raver-tools | source:diamond-ling","0.2.0"
"pedagogy:executive-function-development","supports","pedagogy:early-intentional-practice","positive","strong","Executive function is one of the target domains of intentional early practice.","source:diamond-executive-function | source:early-childhood-wwc","0.2.0"
"pedagogy:expectancy-value-theory","complements","pedagogy:self-determination-theory","positive","strong","Expectancy and value explain choice; needs explain the quality of the motivation.","source:eccles-wigfield-2020 | source:ryan-deci-sdt","0.2.0"
"pedagogy:expertise-reversal","moderates","pedagogy:contingent-scaffolding","conditional","strong","Scaffolding that helps a novice interferes once the learner holds the schema.","source:kalyuga-expertise-reversal | source:scaffolding-review","0.2.0"
"pedagogy:expertise-reversal","moderates","pedagogy:multimedia-learning-theory","conditional","strong","Several multimedia principles reverse for high-prior-knowledge learners.","source:kalyuga-expertise-reversal | source:mayer-multimedia-2017","0.2.0"
"pedagogy:expertise-reversal","moderates","pedagogy:worked-examples-fading","conditional","strong","Worked examples help novices and become redundant or harmful as expertise grows.","source:kalyuga-expertise-reversal | source:worked-examples-meta","0.2.0"
"pedagogy:expertise-reversal","requires","pedagogy:prior-knowledge-variable","positive","strong","The reversal can only be managed if component-level prior knowledge is actually measured.","source:kalyuga-expertise-reversal | source:kli-framework","0.2.0"
"pedagogy:explicit-direct-instruction","implements","pedagogy:cognitive-load-theory","positive","context-dependent","Small steps and checking manage working-memory demand during acquisition.","source:rosenshine-principles | source:cognitive-load","0.2.0"
"pedagogy:explicit-direct-instruction","requires","pedagogy:checking-for-understanding","positive","strong","Without frequent checking it degenerates into uninterrupted presentation.","source:rosenshine-principles | source:wiliam-assessment","0.2.0"
"pedagogy:explicit-direct-instruction","should-fade-into","pedagogy:guided-inquiry","conditional","strong","As knowledge grows, guidance should decrease toward more open investigation.","source:kalyuga-expertise-reversal | source:alfieri-discovery","0.2.0"
"pedagogy:external-attentional-focus","complements","pedagogy:contextual-interference","positive","context-dependent","Both are practice-design variables in motor skill acquisition.","source:wulf-attentional-focus | source:shea-morgan-contextual","0.2.0"
"pedagogy:fact-fluency","supports","pedagogy:schema-based-word-problems","positive","context-dependent","Automatic facts free capacity for the structural reasoning a word problem needs.","source:math-intervention-wwc | source:cognitive-load","0.2.0"
"pedagogy:feedback-design-levels","implements","pedagogy:actionable-feedback","positive","strong","The four-level account specifies which feedback focus is usable.","source:hattie-timperley-feedback | source:feedback-meta","0.2.0"
"pedagogy:feedback-literacy","requires","pedagogy:feedback-design-levels","positive","context-dependent","Uptake capability presumes the feedback carries gap-closing information.","source:carless-feedback-literacy | source:hattie-timperley-feedback","0.2.0"
"pedagogy:flipped-classroom","requires","pedagogy:active-learning-stem","positive","context-dependent","The gain comes from what replaces lecture in class, not from the video.","source:vanalten-flipped | source:freeman-active-learning","0.2.0"
"pedagogy:formative-assessment-cycle","implements","pedagogy:actionable-feedback","conditional","context-dependent","Feedback is one possible evidence-contingent next action inside the cycle.","source:formative-review | source:feedback-meta","0.1.0"
"pedagogy:formative-assessment-cycle","requires","pedagogy:assessment-triangle","positive","normative-standard","Formative inferences require construct-aligned elicitation and interpretation.","source:assessment-nrc | source:formative-critique","0.1.0"
"pedagogy:formative-assessment-effect-caution","moderates","pedagogy:formative-assessment-cycle","conditional","contested","Umbrella effect estimates are much smaller than commonly quoted.","source:kingston-nash-formative | source:formative-critique","0.2.0"
"pedagogy:game-based-learning","contrasts-with","pedagogy:gamification-reward-layers","conditional","context-dependent","Instructional games embed learning in the mechanics; gamification adds rewards around an unchanged activity.","source:wouters-serious-games | source:sailer-gamification","0.2.0"
"pedagogy:gamification-reward-layers","does-not-imply","pedagogy:motivation-need-support","conditional","context-dependent","Points and leaderboards can undermine autonomy while raising short-term activity.","source:sailer-gamification | source:ryan-deci-sdt","0.2.0"
"pedagogy:generation-effect","supports","pedagogy:retrieval-practice","positive","strong","Retrieval practice is a generation manipulation applied to studied material.","source:slamecka-generation | source:retrieval-meta | source:roediger-karpicke","0.2.0"
"pedagogy:gesture-and-embodiment","supports","pedagogy:concrete-abstract-linking","positive","context-dependent","Gesture externalizes the relational structure a concrete representation is meant to carry.","source:goldin-meadow-gesture | source:hpl2 | source:fyfe-concreteness-fading","0.2.0"
"pedagogy:goal-setting-and-implementation-intentions","moderates","pedagogy:study-skills-programs","positive","strong","Specific goals plus if-then plans convert strategy knowledge into strategy use.","source:locke-latham-goals | source:hattie-study-skills","0.2.0"
"pedagogy:grit-construct","complements","pedagogy:growth-mindset-warning","conditional","contested","Both are popular trait-level constructs whose achievement claims exceed their evidence.","source:crede-grit-meta | source:growth-mindset-meta | source:sisk-mindset-meta","0.2.0"
"pedagogy:growth-mindset-warning","does-not-imply","pedagogy:motivation-need-support","negative","contested","A brief malleability message is not equivalent to providing autonomy, competence support, belonging, effective strategies, or resources.","source:growth-mindset-meta | source:motivation-meta","0.1.0"
"pedagogy:guided-inquiry","requires","pedagogy:contingent-scaffolding","positive","strong","Guidance level is the active ingredient in inquiry effectiveness.","source:lazonder-harmsen | source:alfieri-discovery","0.2.0"
"pedagogy:guided-play","implements","pedagogy:contingent-scaffolding","conditional","context-dependent","Responsive adult guidance can scaffold a clear goal while preserving child agency.","source:guided-play-review | source:scaffolding-review","0.1.0"
"pedagogy:guided-play","part-of","pedagogy:playful-learning-continuum","positive","context-dependent","Guided play is the segment of the continuum with the clearest learning evidence.","source:weisberg-guided-play | source:guided-play-review","0.2.0"
"pedagogy:historical-thinking-sourcing","implements","pedagogy:disciplinary-literacy","positive","context-dependent","Sourcing and corroboration are the history-specific instance.","source:wineburg-historical | source:shanahan-disciplinary","0.2.0"
"pedagogy:home-learning-environment","complements","pedagogy:dialogic-shared-reading","positive","context-dependent","Home shared reading is the main site where dialogic reading occurs.","source:senechal-lefevre | source:mol-dialogic-meta","0.2.0"
"pedagogy:homework-practice","implements","pedagogy:spacing","positive","context-dependent","Out-of-class practice is only justified as distributed retrieval, not as new instruction.","source:cooper-homework | source:spacing-meta","0.2.0"
"pedagogy:instructed-second-language-acquisition","supports","pedagogy:academic-language-multilingual","positive","strong","Explicit attention to language form supports academic language development.","source:norris-ortega | source:ell-wwc","0.2.0"
"pedagogy:instructional-coaching","implements","pedagogy:feedback-design-levels","positive","strong","Coaching is observation-based process feedback with a revision opportunity.","source:kraft-coaching | source:hattie-timperley-feedback","0.2.0"
"pedagogy:instructional-coaching","implements","pedagogy:transfer-of-training","positive","strong","Job-embedded coaching addresses the transfer environment directly.","source:kraft-coaching | source:baldwin-ford","0.2.0"
"pedagogy:intelligent-tutoring-systems","complements","pedagogy:one-to-one-tutoring","positive","strong","Step-based tutoring systems approach human tutoring effectiveness.","source:vanlehn-tutoring | source:kulik-fletcher-its","0.2.0"
"pedagogy:interest-development","complements","pedagogy:expectancy-value-theory","positive","context-dependent","Interest is one durable source of the value term.","source:hidi-renninger | source:eccles-wigfield-2020","0.2.0"
"pedagogy:interleaving-discrimination","supports","pedagogy:transfer-bridging","conditional","context-dependent","Mixed practice can support selection under varied conditions when categories are appropriate for comparison.","source:interleaving-meta | source:transfer-taxonomy","0.1.0"
"pedagogy:knowledge-and-comprehension","supports","pedagogy:reading-comprehension-knowledge","positive","strong","Topic knowledge is a primary driver of what a reader understands.","source:recht-leslie | source:reading-comprehension-wwc","0.2.0"
"pedagogy:knowledge-component-model","implements","pedagogy:schema-knowledge-organization","positive","context-dependent","Knowledge components are an operational decomposition of organized knowledge.","source:kli-framework","0.2.0"
"pedagogy:knowledge-component-model","supports","pedagogy:intelligent-tutoring-systems","positive","strong","Step-level tutoring depends on a component-level learner model.","source:kli-framework | source:vanlehn-tutoring","0.2.0"
"pedagogy:l2-corrective-feedback","implements","pedagogy:feedback-design-levels","positive","strong","Explicitness and timing choices in language feedback follow the general feedback account.","source:li-corrective-feedback | source:hattie-timperley-feedback","0.2.0"
"pedagogy:learner-knows-best","contrasts-with","pedagogy:engagement-construct","conditional","strong","Satisfaction and engagement metrics can move opposite to learning.","source:deslauriers-feeling | source:fredricks-engagement","0.2.0"
"pedagogy:learner-knows-best","supports","pedagogy:metacognitive-monitoring-accuracy","positive","strong","Learner judgments of instruction are subject to the same fluency illusion.","source:deslauriers-feeling | source:soderstrom-bjork","0.2.0"
"pedagogy:learning-strategy-model","moderates","pedagogy:study-skills-programs","conditional","hypothesis","Which strategy helps depends on the learner's current phase for that content.","source:hattie-donoghue-model | source:hattie-study-skills","0.2.0"
"pedagogy:learning-styles-matching","part-of","pedagogy:neuromyths","positive","refuted","Learning styles is the most prevalent educational neuromyth.","source:dekker-neuromyths | source:learning-styles","0.2.0"
"pedagogy:learning-trajectories","implements","pedagogy:early-math-progression","positive","context-dependent","Trajectories are the operational form of developmental progressions.","source:clements-trajectories | source:early-math-wwc","0.2.0"
"pedagogy:learning-vs-performance","requires","pedagogy:delayed-transfer-assessment","positive","strong","Detecting the distinction requires deferred, support-free measurement.","source:soderstrom-bjork | source:pan-rickard-transfer","0.2.0"
"pedagogy:learning-vs-performance","supports","pedagogy:desirable-difficulties","positive","strong","The distinction is what makes a difficulty legible as desirable rather than harmful.","source:soderstrom-bjork | source:bjork-self-regulated","0.2.0"
"pedagogy:literacy-phoneme-grapheme","precedes","pedagogy:reading-comprehension-knowledge","conditional","strong","Accurate decoding supports text access while oral language and comprehension knowledge must develop in parallel.","source:literacy-wwc | source:reading-comprehension-wwc","0.1.0"
"pedagogy:mastery-learning","implements","pedagogy:formative-assessment-cycle","positive","context-dependent","Mastery learning is a formative cycle with a fixed criterion and variable time.","source:kulik-mastery | source:formative-review","0.2.0"
"pedagogy:mastery-learning","requires","pedagogy:curriculum-based-measurement","positive","context-dependent","A mastery criterion needs repeatable equivalent measurement to be meaningful.","source:deno-cbm | source:kulik-mastery","0.2.0"
"pedagogy:math-and-test-anxiety","moderates","pedagogy:fact-fluency","negative","strong","Timed public fluency formats are a documented source of mathematics anxiety.","source:barroso-math-anxiety | source:ashcraft-krause","0.2.0"
"pedagogy:math-and-test-anxiety","moderates","pedagogy:prior-knowledge-diagnostic","negative","strong","Anxious underperformance can be misread as a knowledge gap.","source:ashcraft-krause | source:barroso-math-anxiety","0.2.0"
"pedagogy:math-strategy-comparison","implements","pedagogy:interleaving-discrimination","conditional","context-dependent","Comparing alternative methods practices discrimination and procedural choice after initial acquisition.","source:algebra-wwc | source:interleaving-meta","0.1.0"
"pedagogy:math-systematic-representations","implements","pedagogy:concrete-abstract-linking","positive","strong","Effective intervention explicitly connects selected models, language, quantities, and symbols.","source:math-intervention-wwc | source:ies-study","0.1.0"
"pedagogy:mathematical-proficiency-strands","complements","pedagogy:conceptual-procedural-iteration","positive","normative-standard","The strands framework names what the iterative account describes developmentally.","source:adding-it-up | source:rittle-johnson-iterative","0.2.0"
"pedagogy:metacognitive-monitoring-accuracy","part-of","pedagogy:metacognitive-calibration","positive","strong","Monitoring accuracy is the measurable core of calibration.","source:dunlosky-rawson-overconfidence | source:bjork-self-regulated","0.2.0"
"pedagogy:metacognitive-monitoring-accuracy","requires","pedagogy:delayed-transfer-assessment","positive","strong","Calibration can only be computed against an external delayed performance measure.","source:dunlosky-rawson-overconfidence | source:soderstrom-bjork","0.2.0"
"pedagogy:minimal-guidance-instruction","contrasts-with","pedagogy:guided-inquiry","negative","strong","Guided discovery outperforms both explicit instruction and unassisted discovery.","source:alfieri-discovery | source:kirschner-minimal-guidance","0.2.0"
"pedagogy:minimal-guidance-instruction","contrasts-with","pedagogy:productive-failure","conditional","context-dependent","A bounded generation phase with guaranteed consolidation is not minimal guidance.","source:productive-failure-meta | source:kirschner-minimal-guidance","0.2.0"
"pedagogy:montessori-education","implements","pedagogy:playful-learning-continuum","conditional","context-dependent","Montessori occupies a specific position on the agency-and-structure continuum.","source:lillard-montessori | source:weisberg-guided-play","0.2.0"
"pedagogy:motivation-need-support","implements","pedagogy:self-determination-theory","positive","strong","Need-supportive design is the theory's applied form.","source:ryan-deci-sdt | source:motivation-meta","0.2.0"
"pedagogy:motivation-need-support","supports","pedagogy:metacognitive-calibration","conditional","context-dependent","Agency, competence, and belonging can support sustained self-regulation when effective strategies are available.","source:motivation-meta | source:hpl2","0.1.0"
"pedagogy:multi-tiered-support","requires","pedagogy:explicit-direct-instruction","positive","context-dependent","Without strong universal instruction the tiers become a referral pipeline.","source:fuchs-rti | source:rosenshine-principles","0.2.0"
"pedagogy:multilingual-programme-models","supports","pedagogy:academic-language-multilingual","positive","strong","Programme design determines whether content and language develop together.","source:english-learners-nasem | source:ell-wwc","0.2.0"
"pedagogy:multimedia-coherence","does-not-imply","pedagogy:learning-styles-matching","negative","refuted","Content-appropriate complementary media do not validate matching instruction to a preferred modality label.","source:learning-styles | source:ies-study","0.1.0"
"pedagogy:multimedia-coherence","implements","pedagogy:multimedia-learning-theory","positive","context-dependent","Coherence is one of the theory's design principles.","source:mayer-multimedia-2017 | source:mayer-moreno-load","0.2.0"
"pedagogy:multiple-intelligences-matching","part-of","pedagogy:neuromyths","positive","refuted","Instructional matching by intelligence type shares the same refuted logic.","source:waterhouse-mi-critique | source:dekker-neuromyths","0.2.0"
"pedagogy:music-chess-far-transfer","contrasts-with","pedagogy:transfer-bridging","negative","refuted","Far transfer without shared structure does not occur, however appealing the claim.","source:sala-gobet-music | source:transfer-taxonomy","0.2.0"
"pedagogy:note-taking","complements","pedagogy:summarization-training","positive","context-dependent","Both depend on selection and paraphrase rather than verbatim capture.","source:mueller-oppenheimer | source:dunlosky-techniques","0.2.0"
"pedagogy:pair-programming","implements","pedagogy:cooperative-structures","positive","context-dependent","Driver-navigator roles are a computing-specific interdependence structure.","source:hannay-pair-programming | source:johnson-cooperative","0.2.0"
"pedagogy:peer-assessment","implements","pedagogy:assessment-for-learning-strategies","positive","strong","Activating learners as resources for one another is one of the named strategies.","source:double-peer-assessment | source:wiliam-assessment","0.2.0"
