"entry_id","facet","value"
"pedagogy:assessment-triangle","layer","framework"
"pedagogy:assessment-triangle","grainSize","program-system"
"pedagogy:assessment-triangle","maturity","established"
"pedagogy:assessment-triangle","tradition","psychometric"
"pedagogy:assessment-triangle","domain","assessment-measurement"
"pedagogy:assessment-triangle","lifespanStage","cross-lifespan"
"pedagogy:assessment-triangle","function","assess"
"pedagogy:assessment-triangle","evidenceStatus","normative-standard"
"pedagogy:assessment-triangle","recommendationStatus","candidate-default-with-fit-check"
"pedagogy:assessment-validity-precision","layer","constraint"
"pedagogy:assessment-validity-precision","grainSize","program-system"
"pedagogy:assessment-validity-precision","maturity","established"
"pedagogy:assessment-validity-precision","tradition","psychometric"
"pedagogy:assessment-validity-precision","domain","assessment-measurement"
"pedagogy:assessment-validity-precision","lifespanStage","cross-lifespan"
"pedagogy:assessment-validity-precision","function","assess"
"pedagogy:assessment-validity-precision","evidenceStatus","normative-standard"
"pedagogy:assessment-validity-precision","recommendationStatus","candidate-default-with-fit-check"
"pedagogy:attention-and-media-multitasking","layer","construct"
"pedagogy:attention-and-media-multitasking","grainSize","micro-move"
"pedagogy:attention-and-media-multitasking","maturity","consolidating"
"pedagogy:attention-and-media-multitasking","tradition","cognitive"
"pedagogy:attention-and-media-multitasking","tradition","neuroscience"
"pedagogy:attention-and-media-multitasking","domain","general"
"pedagogy:attention-and-media-multitasking","domain","digital-environments"
"pedagogy:attention-and-media-multitasking","lifespanStage","middle"
"pedagogy:attention-and-media-multitasking","lifespanStage","secondary"
"pedagogy:attention-and-media-multitasking","lifespanStage","postsecondary"
"pedagogy:attention-and-media-multitasking","lifespanStage","adult-workplace"
"pedagogy:attention-and-media-multitasking","function","self-regulate"
"pedagogy:attention-and-media-multitasking","function","climate"
"pedagogy:attention-and-media-multitasking","evidenceStatus","context-dependent"
"pedagogy:attention-and-media-multitasking","recommendationStatus","contextual-option"
"pedagogy:belonging-intervention","layer","tactic"
"pedagogy:belonging-intervention","grainSize","micro-move"
"pedagogy:belonging-intervention","maturity","disputed"
"pedagogy:belonging-intervention","tradition","motivational-social"
"pedagogy:belonging-intervention","tradition","critical-equity"
"pedagogy:belonging-intervention","domain","general"
"pedagogy:belonging-intervention","lifespanStage","secondary"
"pedagogy:belonging-intervention","lifespanStage","postsecondary"
"pedagogy:belonging-intervention","function","climate"
"pedagogy:belonging-intervention","function","motivate"
"pedagogy:belonging-intervention","evidenceStatus","contested"
"pedagogy:belonging-intervention","recommendationStatus","experimental-only"
"pedagogy:blended-online-learning","layer","method"
"pedagogy:blended-online-learning","grainSize","program-system"
"pedagogy:blended-online-learning","maturity","established"
"pedagogy:blended-online-learning","tradition","instructional-design"
"pedagogy:blended-online-learning","domain","digital-environments"
"pedagogy:blended-online-learning","domain","general"
"pedagogy:blended-online-learning","domain","professional-workplace"
"pedagogy:blended-online-learning","lifespanStage","secondary"
"pedagogy:blended-online-learning","lifespanStage","postsecondary"
"pedagogy:blended-online-learning","lifespanStage","adult-workplace"
"pedagogy:blended-online-learning","function","sequence"
"pedagogy:blended-online-learning","function","collaborate"
"pedagogy:blended-online-learning","function","access"
"pedagogy:blended-online-learning","evidenceStatus","context-dependent"
"pedagogy:blended-online-learning","recommendationStatus","contextual-option"
"pedagogy:blooms-revised-taxonomy","layer","framework"
"pedagogy:blooms-revised-taxonomy","grainSize","unit-course"
"pedagogy:blooms-revised-taxonomy","maturity","established"
"pedagogy:blooms-revised-taxonomy","tradition","instructional-design"
"pedagogy:blooms-revised-taxonomy","tradition","psychometric"
"pedagogy:blooms-revised-taxonomy","domain","general"
"pedagogy:blooms-revised-taxonomy","domain","assessment-measurement"
"pedagogy:blooms-revised-taxonomy","lifespanStage","cross-lifespan"
"pedagogy:blooms-revised-taxonomy","function","sequence"
"pedagogy:blooms-revised-taxonomy","function","assess"
"pedagogy:blooms-revised-taxonomy","evidenceStatus","normative-standard"
"pedagogy:blooms-revised-taxonomy","recommendationStatus","contextual-option"
"pedagogy:brain-training-transfer","layer","anti-pattern"
"pedagogy:brain-training-transfer","grainSize","program-system"
"pedagogy:brain-training-transfer","maturity","deprecated"
"pedagogy:brain-training-transfer","tradition","cognitive"
"pedagogy:brain-training-transfer","tradition","neuroscience"
"pedagogy:brain-training-transfer","domain","general"
"pedagogy:brain-training-transfer","domain","special-education"
"pedagogy:brain-training-transfer","domain","digital-environments"
"pedagogy:brain-training-transfer","lifespanStage","cross-lifespan"
"pedagogy:brain-training-transfer","function","practice"
"pedagogy:brain-training-transfer","evidenceStatus","refuted"
"pedagogy:brain-training-transfer","recommendationStatus","avoid"
"pedagogy:checking-for-understanding","layer","tactic"
"pedagogy:checking-for-understanding","grainSize","micro-move"
"pedagogy:checking-for-understanding","maturity","established"
"pedagogy:checking-for-understanding","tradition","instructional-design"
"pedagogy:checking-for-understanding","tradition","psychometric"
"pedagogy:checking-for-understanding","domain","general"
"pedagogy:checking-for-understanding","lifespanStage","primary"
"pedagogy:checking-for-understanding","lifespanStage","middle"
"pedagogy:checking-for-understanding","lifespanStage","secondary"
"pedagogy:checking-for-understanding","lifespanStage","postsecondary"
"pedagogy:checking-for-understanding","lifespanStage","adult-workplace"
"pedagogy:checking-for-understanding","function","diagnose"
"pedagogy:checking-for-understanding","function","feedback"
"pedagogy:checking-for-understanding","function","assess"
"pedagogy:checking-for-understanding","evidenceStatus","strong"
"pedagogy:checking-for-understanding","recommendationStatus","candidate-default-with-fit-check"
"pedagogy:classroom-climate","layer","construct"
"pedagogy:classroom-climate","grainSize","program-system"
"pedagogy:classroom-climate","maturity","consolidating"
"pedagogy:classroom-climate","tradition","sociocultural"
"pedagogy:classroom-climate","tradition","motivational-social"
"pedagogy:classroom-climate","domain","general"
"pedagogy:classroom-climate","lifespanStage","primary"
"pedagogy:classroom-climate","lifespanStage","middle"
"pedagogy:classroom-climate","lifespanStage","secondary"
"pedagogy:classroom-climate","function","climate"
"pedagogy:classroom-climate","function","access"
"pedagogy:classroom-climate","evidenceStatus","context-dependent"
"pedagogy:classroom-climate","recommendationStatus","contextual-option"
"pedagogy:classroom-management","layer","method"
"pedagogy:classroom-management","grainSize","unit-course"
"pedagogy:classroom-management","maturity","established"
"pedagogy:classroom-management","tradition","behavioral"
"pedagogy:classroom-management","tradition","instructional-design"
"pedagogy:classroom-management","domain","general"
"pedagogy:classroom-management","domain","special-education"
"pedagogy:classroom-management","lifespanStage","primary"
"pedagogy:classroom-management","lifespanStage","middle"
"pedagogy:classroom-management","lifespanStage","secondary"
"pedagogy:classroom-management","function","climate"
"pedagogy:classroom-management","function","sequence"
"pedagogy:classroom-management","evidenceStatus","strong"
"pedagogy:classroom-management","recommendationStatus","candidate-default-with-fit-check"
"pedagogy:cognitive-aging-and-learning","layer","construct"
"pedagogy:cognitive-aging-and-learning","grainSize","unit-course"
"pedagogy:cognitive-aging-and-learning","maturity","established"
"pedagogy:cognitive-aging-and-learning","tradition","developmental"
"pedagogy:cognitive-aging-and-learning","tradition","cognitive"
"pedagogy:cognitive-aging-and-learning","domain","general"
"pedagogy:cognitive-aging-and-learning","domain","health"
"pedagogy:cognitive-aging-and-learning","domain","professional-workplace"
"pedagogy:cognitive-aging-and-learning","lifespanStage","older-adult"
"pedagogy:cognitive-aging-and-learning","lifespanStage","adult-workplace"
"pedagogy:cognitive-aging-and-learning","function","access"
"pedagogy:cognitive-aging-and-learning","function","sequence"
"pedagogy:cognitive-aging-and-learning","function","practice"
"pedagogy:cognitive-aging-and-learning","evidenceStatus","strong"
"pedagogy:cognitive-aging-and-learning","recommendationStatus","candidate-default-with-fit-check"
"pedagogy:cognitive-load-design","layer","principle"
"pedagogy:cognitive-load-design","grainSize","lesson"
"pedagogy:cognitive-load-design","maturity","consolidating"
"pedagogy:cognitive-load-design","tradition","cognitive"
"pedagogy:cognitive-load-design","domain","general"
"pedagogy:cognitive-load-design","domain","digital-environments"
"pedagogy:cognitive-load-design","lifespanStage","cross-lifespan"
"pedagogy:cognitive-load-design","function","explain"
"pedagogy:cognitive-load-design","function","sequence"
"pedagogy:cognitive-load-design","evidenceStatus","context-dependent"
"pedagogy:cognitive-load-design","recommendationStatus","contextual-option"
"pedagogy:cognitive-load-theory","layer","theory"
"pedagogy:cognitive-load-theory","grainSize","lesson"
"pedagogy:cognitive-load-theory","maturity","consolidating"
"pedagogy:cognitive-load-theory","tradition","cognitive"
"pedagogy:cognitive-load-theory","domain","general"
"pedagogy:cognitive-load-theory","lifespanStage","cross-lifespan"
"pedagogy:cognitive-load-theory","function","explain"
"pedagogy:cognitive-load-theory","function","sequence"
"pedagogy:cognitive-load-theory","evidenceStatus","context-dependent"
"pedagogy:cognitive-load-theory","recommendationStatus","contextual-option"
"pedagogy:computational-thinking-transfer","layer","construct"
"pedagogy:computational-thinking-transfer","grainSize","program-system"
"pedagogy:computational-thinking-transfer","maturity","consolidating"
"pedagogy:computational-thinking-transfer","tradition","cognitive"
"pedagogy:computational-thinking-transfer","domain","computing"
"pedagogy:computational-thinking-transfer","domain","general"
"pedagogy:computational-thinking-transfer","lifespanStage","primary"
"pedagogy:computational-thinking-transfer","lifespanStage","middle"
"pedagogy:computational-thinking-transfer","lifespanStage","secondary"
"pedagogy:computational-thinking-transfer","lifespanStage","postsecondary"
"pedagogy:computational-thinking-transfer","function","transfer"
"pedagogy:computational-thinking-transfer","evidenceStatus","context-dependent"
"pedagogy:computational-thinking-transfer","recommendationStatus","do-not-generalize"
"pedagogy:computing-practices","layer","framework"
"pedagogy:computing-practices","grainSize","program-system"
"pedagogy:computing-practices","maturity","consolidating"
"pedagogy:computing-practices","tradition","instructional-design"
"pedagogy:computing-practices","tradition","constructivist"
"pedagogy:computing-practices","domain","computing"
"pedagogy:computing-practices","lifespanStage","primary"
"pedagogy:computing-practices","lifespanStage","middle"
"pedagogy:computing-practices","lifespanStage","secondary"
"pedagogy:computing-practices","function","practice"
"pedagogy:computing-practices","function","transfer"
"pedagogy:computing-practices","evidenceStatus","context-dependent"
"pedagogy:computing-practices","recommendationStatus","contextual-option"
"pedagogy:concept-mapping","layer","tactic"
"pedagogy:concept-mapping","grainSize","micro-move"
"pedagogy:concept-mapping","maturity","established"
"pedagogy:concept-mapping","tradition","cognitive"
"pedagogy:concept-mapping","tradition","constructivist"
"pedagogy:concept-mapping","domain","general"
"pedagogy:concept-mapping","domain","science"
"pedagogy:concept-mapping","lifespanStage","primary"
"pedagogy:concept-mapping","lifespanStage","middle"
"pedagogy:concept-mapping","lifespanStage","secondary"
"pedagogy:concept-mapping","lifespanStage","postsecondary"
"pedagogy:concept-mapping","function","consolidate"
"pedagogy:concept-mapping","function","explain"
"pedagogy:concept-mapping","evidenceStatus","context-dependent"
"pedagogy:concept-mapping","recommendationStatus","contextual-option"
"pedagogy:conceptual-change","layer","theory"
"pedagogy:conceptual-change","grainSize","unit-course"
"pedagogy:conceptual-change","maturity","consolidating"
"pedagogy:conceptual-change","tradition","constructivist"
"pedagogy:conceptual-change","tradition","cognitive"
"pedagogy:conceptual-change","domain","science"
"pedagogy:conceptual-change","domain","mathematics"
"pedagogy:conceptual-change","domain","general"
"pedagogy:conceptual-change","lifespanStage","primary"
"pedagogy:conceptual-change","lifespanStage","middle"
"pedagogy:conceptual-change","lifespanStage","secondary"
"pedagogy:conceptual-change","lifespanStage","postsecondary"
"pedagogy:conceptual-change","function","diagnose"
"pedagogy:conceptual-change","function","explain"
"pedagogy:conceptual-change","function","transfer"
"pedagogy:conceptual-change","evidenceStatus","context-dependent"
"pedagogy:conceptual-change","recommendationStatus","contextual-option"
"pedagogy:conceptual-procedural-iteration","layer","principle"
"pedagogy:conceptual-procedural-iteration","grainSize","unit-course"
"pedagogy:conceptual-procedural-iteration","maturity","established"
"pedagogy:conceptual-procedural-iteration","tradition","cognitive"
"pedagogy:conceptual-procedural-iteration","tradition","developmental"
"pedagogy:conceptual-procedural-iteration","domain","mathematics"
"pedagogy:conceptual-procedural-iteration","domain","science"
"pedagogy:conceptual-procedural-iteration","lifespanStage","primary"
"pedagogy:conceptual-procedural-iteration","lifespanStage","middle"
"pedagogy:conceptual-procedural-iteration","lifespanStage","secondary"
"pedagogy:conceptual-procedural-iteration","function","sequence"
"pedagogy:conceptual-procedural-iteration","function","explain"
"pedagogy:conceptual-procedural-iteration","function","practice"
"pedagogy:conceptual-procedural-iteration","evidenceStatus","strong"
"pedagogy:conceptual-procedural-iteration","recommendationStatus","candidate-default-with-fit-check"
"pedagogy:concrete-abstract-linking","layer","tactic"
"pedagogy:concrete-abstract-linking","grainSize","lesson"
"pedagogy:concrete-abstract-linking","maturity","consolidating"
"pedagogy:concrete-abstract-linking","tradition","cognitive"
"pedagogy:concrete-abstract-linking","tradition","developmental"
"pedagogy:concrete-abstract-linking","domain","mathematics"
"pedagogy:concrete-abstract-linking","domain","science"
"pedagogy:concrete-abstract-linking","lifespanStage","preschool"
"pedagogy:concrete-abstract-linking","lifespanStage","primary"
"pedagogy:concrete-abstract-linking","lifespanStage","middle"
"pedagogy:concrete-abstract-linking","lifespanStage","secondary"
"pedagogy:concrete-abstract-linking","function","explain"
"pedagogy:concrete-abstract-linking","function","transfer"
"pedagogy:concrete-abstract-linking","evidenceStatus","context-dependent"
"pedagogy:concrete-abstract-linking","recommendationStatus","contextual-option"
"pedagogy:contextual-interference","layer","principle"
"pedagogy:contextual-interference","grainSize","lesson"
"pedagogy:contextual-interference","maturity","established"
"pedagogy:contextual-interference","tradition","cognitive"
"pedagogy:contextual-interference","tradition","behavioral"
"pedagogy:contextual-interference","domain","physical-motor"
"pedagogy:contextual-interference","domain","music"
"pedagogy:contextual-interference","domain","health"
"pedagogy:contextual-interference","domain","professional-workplace"
"pedagogy:contextual-interference","lifespanStage","cross-lifespan"
"pedagogy:contextual-interference","function","practice"
"pedagogy:contextual-interference","function","consolidate"
"pedagogy:contextual-interference","function","transfer"
"pedagogy:contextual-interference","evidenceStatus","strong"
"pedagogy:contextual-interference","recommendationStatus","candidate-default-with-fit-check"
"pedagogy:contingent-scaffolding","layer","tactic"
"pedagogy:contingent-scaffolding","grainSize","lesson"
"pedagogy:contingent-scaffolding","maturity","consolidating"
"pedagogy:contingent-scaffolding","tradition","sociocultural"
"pedagogy:contingent-scaffolding","tradition","cognitive"
"pedagogy:contingent-scaffolding","domain","general"
"pedagogy:contingent-scaffolding","lifespanStage","cross-lifespan"
"pedagogy:contingent-scaffolding","function","explain"
"pedagogy:contingent-scaffolding","function","practice"
"pedagogy:contingent-scaffolding","evidenceStatus","context-dependent"
"pedagogy:contingent-scaffolding","recommendationStatus","contextual-option"
"pedagogy:contrasting-cases-invention","layer","tactic"
"pedagogy:contrasting-cases-invention","grainSize","lesson"
"pedagogy:contrasting-cases-invention","maturity","consolidating"
"pedagogy:contrasting-cases-invention","tradition","constructivist"
"pedagogy:contrasting-cases-invention","tradition","cognitive"
"pedagogy:contrasting-cases-invention","domain","mathematics"
"pedagogy:contrasting-cases-invention","domain","science"
"pedagogy:contrasting-cases-invention","domain","general"
"pedagogy:contrasting-cases-invention","lifespanStage","middle"
"pedagogy:contrasting-cases-invention","lifespanStage","secondary"
"pedagogy:contrasting-cases-invention","lifespanStage","postsecondary"
"pedagogy:contrasting-cases-invention","function","transfer"
"pedagogy:contrasting-cases-invention","function","practice"
"pedagogy:contrasting-cases-invention","function","explain"
"pedagogy:contrasting-cases-invention","evidenceStatus","context-dependent"
"pedagogy:contrasting-cases-invention","recommendationStatus","contextual-option"
"pedagogy:cooperative-structures","layer","method"
"pedagogy:cooperative-structures","grainSize","lesson"
"pedagogy:cooperative-structures","maturity","established"
"pedagogy:cooperative-structures","tradition","sociocultural"
"pedagogy:cooperative-structures","tradition","motivational-social"
"pedagogy:cooperative-structures","domain","general"
"pedagogy:cooperative-structures","domain","science"
"pedagogy:cooperative-structures","domain","mathematics"
"pedagogy:cooperative-structures","lifespanStage","primary"
"pedagogy:cooperative-structures","lifespanStage","middle"
"pedagogy:cooperative-structures","lifespanStage","secondary"
"pedagogy:cooperative-structures","lifespanStage","postsecondary"
"pedagogy:cooperative-structures","function","collaborate"
"pedagogy:cooperative-structures","function","practice"
"pedagogy:cooperative-structures","function","climate"
"pedagogy:cooperative-structures","evidenceStatus","strong"
"pedagogy:cooperative-structures","recommendationStatus","candidate-default-with-fit-check"
"pedagogy:curriculum-based-measurement","layer","measure"
"pedagogy:curriculum-based-measurement","grainSize","program-system"
"pedagogy:curriculum-based-measurement","maturity","established"
"pedagogy:curriculum-based-measurement","tradition","psychometric"
"pedagogy:curriculum-based-measurement","tradition","behavioral"
"pedagogy:curriculum-based-measurement","domain","assessment-measurement"
"pedagogy:curriculum-based-measurement","domain","literacy"
"pedagogy:curriculum-based-measurement","domain","mathematics"
"pedagogy:curriculum-based-measurement","domain","special-education"
"pedagogy:curriculum-based-measurement","lifespanStage","primary"
"pedagogy:curriculum-based-measurement","lifespanStage","middle"
"pedagogy:curriculum-based-measurement","lifespanStage","secondary"
"pedagogy:curriculum-based-measurement","function","assess"
"pedagogy:curriculum-based-measurement","function","diagnose"
"pedagogy:curriculum-based-measurement","function","sequence"
"pedagogy:curriculum-based-measurement","evidenceStatus","context-dependent"
"pedagogy:curriculum-based-measurement","recommendationStatus","candidate-default-with-fit-check"
"pedagogy:deeper-learning-competencies","layer","framework"
"pedagogy:deeper-learning-competencies","grainSize","program-system"
"pedagogy:deeper-learning-competencies","maturity","consolidating"
"pedagogy:deeper-learning-competencies","tradition","cognitive"
