"id","label","kind","summary","mechanism","learner_stages","task_types","contexts","prerequisites","constraints","risks","observable_evidence","evidence_status","evidence_confidence","evidence_basis","directness","generalizability","recommendation_status","recommendation_rationale","source_ids","tags"
"pedagogy:assessment-validity-precision","Validity argument and score precision","constraint","Support the intended interpretation and use with relevant evidence, and report uncertainty appropriate to the decision.","Reliability and error analysis bound score precision; a validity argument links score meaning to the construct, population, purpose, and consequences.","K-12 | adult","scoring | diagnosis | certification","classroom assessment | high stakes | automated scoring","Specified construct, population, use, and decision rule | Representative tasks, raters, and respondents","A reliable score can still be invalid | Local precision near thresholds may differ from aggregate reliability","Treating a test as universally valid | Using one point score without uncertainty | Repurposing formative data for unsupported high-stakes decisions","Supported interpretation with quantified uncertainty; measure=Validity evidence, scoring consistency, standard error or interval, subgroup checks, and decision consistency; timing=Before use and throughout deployment; caveat=No single coefficient establishes validity","normative-standard","high","Professional testing standards and National Academies assessment consensus.","normative","All assessment uses; required evidence depends on purpose and stakes.","candidate-default-with-fit-check","Require proportional evidence and uncertainty for any inference that changes learner treatment.","source:testing-standards | source:assessment-nrc","assessment | validity | reliability | high-stakes"
"pedagogy:assessment-fair-access","Fair and accessible assessment","constraint","Remove construct-irrelevant access barriers and verify whether accommodations preserve or alter the intended construct.","Accessible presentation and interaction reduce variance caused by sensory, motor, language, cultural, or technology barriers rather than target competence.","early-childhood | K-12 | adult","assessment | performance task | digital interaction","classroom | remote | high-stakes","A clearly bounded construct | Accessibility expertise, assistive-technology compatibility, and representative testing","Accommodation preserves the intended construct; modification changes it and may break comparability | Report adaptation use","Assuming identical treatment is fair | Adding access late | Silently comparing modified and unmodified scores","Comparable access to the intended construct; measure=Accessibility audit, assistive-technology completion, accommodation usability, subgroup/DIF analysis, and cognitive lab; timing=Before launch and after deployment; caveat=A subgroup score gap alone neither proves nor rules out item bias","normative-standard","high","Professional standards for fairness, accessibility, and intended score use.","normative","All assessment, especially diverse and high-stakes populations.","candidate-default-with-fit-check","Accessibility and fairness are validity conditions, not optional enhancements.","source:testing-standards | source:wcag22","assessment | accessibility | fairness | accommodation"
"pedagogy:multimedia-coherence","Coherent multimedia and integrated representations","principle","Combine words and relevant graphics when both serve the target relation, integrate references spatially or temporally, and remove seductive or redundant material.","Complementary representations can support selection, organization, and integration while coherent layout reduces avoidable search and split attention.","primary | secondary | adult","process explanation | spatial relation | system model","slides | interactive media | textbook | simulation","A target relation that benefits from depiction | Accessible alternatives for visual and auditory content","Representation choice must follow content and access needs, not a learner-style label | Signal relations explicitly","Decorative media | Narrating identical dense on-screen text | Assuming more modalities always help","Accurate integration across representations; measure=Explanation, diagram-text mapping, retention, transfer, and access-barrier report; timing=After learning and on a novel representation; caveat=Preference for a format is not evidence that it improves learning","context-dependent","moderate","Evidence-rated institutional guidance supports graphics with verbal descriptions, with cognitive-load and accessibility boundary conditions.","direct-intervention","Strongest when visuals depict relevant structure and are coherently integrated.","contextual-option","Use content-appropriate, coherent, accessible representations rather than modality matching.","source:ies-study | source:cognitive-load | source:wcag22","representation | multimedia | accessibility | cognitive-load"
"pedagogy:concrete-abstract-linking","Concrete-to-abstract representation linking","tactic","Explicitly connect concrete, visual, verbal, and symbolic representations of the same concept and explain what each preserves or hides.","Mapping across forms can ground abstract relations and later make structure available without dependence on one surface form.","early-childhood | primary | secondary","mathematics | science models | concept formation","classroom | interactive artifact","Representations that encode the same target relation | Explicit comparison or mapping","Limit simultaneous representations | Fade perceptual detail when it distracts from structure","Treating manipulatives as self-explanatory | Switching among unrelated models | Learners attend to surface features","Bidirectional mapping and structure preservation; measure=Explain correspondence, translate among forms, and solve a new-form task; timing=During comparison and after representation change; caveat=Correct manipulation without symbolic or conceptual mapping is insufficient","context-dependent","moderate","Institutional practice guides rate connected concrete-abstract representations positively, while design and learner knowledge moderate outcomes.","direct-intervention","Best established in mathematics and structured concepts.","contextual-option","Retrieve only with an explicit mapping task and a plan to test transfer across forms.","source:ies-study | source:math-intervention-wwc","representation | mathematics | concept | transfer"
"pedagogy:icap-engagement-hypothesis","ICAP cognitive-engagement ordering","framework","Classify overt engagement as passive, active, constructive, or interactive and predict deeper learning when learners generate beyond given information or co-construct reasoning.","Generative activity creates new inferences; substantive dialogue can expose and jointly repair gaps beyond each participant's initial contribution.","secondary | adult","note taking | concept mapping | self-explanation | discussion","classroom design | activity audit","A target cognitive product | Observable learner output | Interaction that is substantively co-constructive","Overt activity is only a proxy for cognitive engagement | The predicted ordering has caveats and depends on activity quality","Calling clicks active learning | Assuming any group work is interactive | Maximizing activity at the expense of knowledge or clarity","Learner-generated inference or co-construction; measure=Quality and novelty of notes, explanations, maps, dialogue uptake, and delayed learning; timing=During activity and on independent follow-up; caveat=Behavioral category alone does not establish mechanism or learning","hypothesis","moderate","Theory article integrates laboratory and classroom evidence but states an ordering hypothesis with limitations, not a universal causal law.","mixed-direct-and-inferential","Useful as an activity-audit lens; effects depend on domain, prompt, and interaction quality.","experimental-only","Use to formulate observable design predictions and compare outcomes, not to rank every activity mechanically.","source:icap","general | engagement | generation | hypothesis"
"pedagogy:structured-collaboration","Structured cooperative and collaborative learning","tactic","Design interdependent tasks with individual accountability, equitable participation, explanation, and group-process reflection.","Peer explanation, questioning, critique, and shared problem solving can deepen elaboration and reveal differences in understanding.","primary | secondary | adult","multiple-perspective problem | joint explanation | peer review","small group | project team | workplace learning","A genuinely interdependent task | Explicit roles or norms | Individual evidence of learning | Teacher or facilitator monitoring","Group size must permit participation | Assess both group process and individual outcomes","Social loafing | Status domination | One learner doing all reasoning | Group product masking individual nonlearning","Equitable substantive participation and individual learning; measure=Turn/idea distribution, explanation quality, peer uptake, identifiable contributions, and individual transfer; timing=During collaboration and after group support is removed; caveat=A polished group artifact is not evidence that every member learned","context-dependent","moderate","Classroom meta-analysis finds positive average achievement and attitude effects with substantial implementation heterogeneity.","direct-intervention","Across school and higher education when structures create accountability and productive interaction.","contextual-option","Use when the task benefits from distributed perspectives and individual learning remains observable.","source:collaboration-meta | source:icap","collaboration | explanation | accountability | equity"
"pedagogy:productive-failure","Productive failure sequence","tactic","Let prepared learners generate multiple imperfect solutions to a rich problem, then explicitly compare and consolidate those attempts into canonical knowledge.","Initial generation activates and differentiates prior knowledge, exposes gaps, and prepares attention for subsequent explanation.","secondary | adult","novel mathematics concept | conceptual problem | transfer preparation","classroom | workshop","Sufficient prerequisite knowledge | A problem allowing multiple representations | Psychological safety | Guaranteed explicit consolidation","Best evidence is for conceptual knowledge and transfer, not procedural fluency | Monitor age/readiness and affect","Relabeling unguided discovery as productive failure | Withholding instruction indefinitely | Public humiliation | Using immediate correctness as the only outcome","Diverse generation followed by conceptual reorganization; measure=Number and structure of attempts, comparison quality, conceptual explanation, delayed transfer, and separate procedural score; timing=Across generation, consolidation, and delayed assessment; caveat=Failure is productive only if the later instruction builds on it","context-dependent","high","Meta-analysis supports bounded benefits for conceptual knowledge and transfer, with negative pooled estimates for younger grades and fidelity moderators.","direct-intervention","Best supported in mathematics with older, prepared learners and high-fidelity consolidation.","contextual-option","Retrieve only with readiness evidence, affect safeguards, and an explicit consolidation phase.","source:productive-failure-meta","productive-struggle | generation | mathematics | transfer"
"pedagogy:productive-struggle","Productive struggle as a monitored design hypothesis","framework","Create calibrated challenge that preserves sense-making, then monitor whether struggle produces strategy change and progress rather than prolonged frustration.","Challenge may prompt monitoring, persistence, adaptive help seeking, and deeper processing when prerequisites and support are adequate.","upper-primary | secondary | adult","mathematical reasoning | problem solving | revision","classroom | tutoring","Clear goal | Appropriately demanding task | Psychological safety | Real-time monitoring | Hint and exit path","Operationalize both struggle and productivity | Distinguish from the narrower productive-failure sequence","Romanticizing frustration | Inequitable withholding of support | Blaming learners with grit narratives | Using time-on-task as proof of learning","Struggle with measurable progress; measure=Strategy changes, explanation refinement, error recovery, calibrated help seeking, affect, and later conceptual gain; timing=During challenge and after support; caveat=Persistence without progress is not productive","contested","low","The broad construct is inconsistently operationalized and much literature is qualitative or professional guidance; narrower productive-failure evidence should not be generalized.","mixed-direct-and-inferential","Most developed in mathematics; broad cross-domain claims are not established.","experimental-only","Use only with observable progress criteria, equity safeguards, and a support escalation plan.","source:productive-failure-meta | source:hpl2","productive-struggle | challenge | risk | hypothesis"
"pedagogy:motivation-need-support","Motivation through autonomy, competence, belonging, and purpose","principle","Offer meaningful bounded choice, achievable challenge with structure, progress evidence, relational safety, and valued purpose.","Support for autonomy, competence, and relatedness can promote more autonomous regulation, engagement, and persistence.","early-childhood | K-12 | adult","sustained learning | challenge | self-directed work","classroom | online | workplace","Real rather than illusory choices | Clear structure and competence-building support | Emotionally safe climate","Measure motivation and achievement separately | Attend to culture, identity, and context","Equating autonomy with no guidance | Forced choice | Treating motivation as a fixed learner trait | Assuming engagement guarantees learning","Autonomous engagement with learning progress; measure=Choice rationale, persistence, help seeking, need satisfaction, belonging, and objective performance; timing=Across a sequence, not one task; caveat=Self-reported enjoyment is a proximal outcome, not achievement","context-dependent","moderate","Intervention meta-analysis and National Academies consensus support need-supportive design, with heterogeneous and sometimes nonsignificant outcomes.","mixed-direct-and-inferential","Across ages, but effects and culturally meaningful enactments vary.","contextual-option","Combine choice with structure, feedback, belonging, and actual opportunities to build competence.","source:motivation-meta | source:hpl2 | source:adolescent-nasem","motivation | belonging | agency | culture"
"pedagogy:growth-mindset-warning","Growth-mindset intervention warning","anti-pattern","Do not treat brief growth-mindset messaging as a general achievement intervention or replacement for strategy, instruction, feedback, and opportunity.","The proposed path from malleability belief to challenge seeking and effort is plausible, but changing a belief does not itself supply knowledge, effective strategy, or resources.","K-12 | adult","motivation support","advising | classroom climate","If used, pair with effective strategies and structural support | Pre-register objective outcomes and manipulation checks","Separate belief change from achievement effects","Praising effort without effective strategy | Blaming learners | Replacing instruction or resources with slogans","Behavior and achievement beyond self-reported belief; measure=Challenge choice, strategy change, persistence, and long-term objective outcome; timing=After sufficient follow-up; caveat=A successful mindset manipulation is not an achievement effect","contested","high","Large critical meta-analysis found tiny overall effects and nonsignificant effects in higher-quality or bias-adjusted subsets.","direct-intervention","Does not support a general achievement intervention claim.","do-not-generalize","At most a small contextual component; never a substitute for substantive teaching and opportunity.","source:growth-mindset-meta","motivation | warning | contested | equity"
"pedagogy:learning-styles-matching","Learning-styles matching","anti-pattern","Do not classify learners into modality styles and match instruction to the preferred mode as a learning policy.","Preferences are real, but the claimed aptitude-by-treatment interaction needed to justify matching has not been demonstrated.","early-childhood | K-12 | adult","instructional design","all learning environments","None; select representation by content, goal, and accessibility instead","Learner preferences can inform comfort or choice but not causal learning claims","Stable labeling | Narrowing opportunities | Confusing accessibility needs with preferences | Misallocating design effort","Required style-by-method crossover interaction; measure=Randomized comparison of matched and mismatched instruction with objective learning outcomes; timing=After instruction and delay; caveat=Preference surveys or main effects of one format do not test the meshing hypothesis","refuted","high","Authoritative review found virtually no evidence meeting the required interaction standard and some contradictory results.","mixed-direct-and-inferential","The common meshing claim is unsupported across educational settings.","avoid","Route by content affordance, current evidence, and accessibility—not a learner-style label.","source:learning-styles","anti-pattern | representation | learner-traits | refuted"
"pedagogy:early-intentional-practice","Intentional and engaging early-childhood practice","principle","Embed explicit goals for social-emotional, language, literacy, mathematics, and executive-function skills in engaging routines, games, conversation, and shared activity.","Repeated, responsive, developmentally suitable practice builds specific skills while observation lets adults adjust challenge and language.","early-childhood","language development | early literacy | early mathematics | social-emotional practice","preschool | childcare | home partnership","A specific target skill | Developmentally suitable materials | Responsive adult interaction","Integrate with play and relationships | Interpret progressions flexibly","Worksheet-heavy schoolification | Assuming far transfer from generic executive-function games | Deficit labeling","Target skill in authentic activity; measure=Language use, social interaction, math reasoning, letter-sound knowledge, and strategy change; timing=Repeated observations across routines; caveat=A category-level guide does not validate every branded program","strong","high","WWC practice guide rates several specific early language, literacy, mathematics, and social-emotional recommendations strong; others moderate.","direct-intervention","Pre-K and school-readiness contexts; evidence strength varies by specific practice.","candidate-default-with-fit-check","Use specific evidence-rated practices while protecting play, relationship, and developmental fit.","source:early-childhood-wwc","early-childhood | development | language | mathematics"
"pedagogy:guided-play","Guided play","tactic","Combine genuine child choice and meaningful play with a clear learning goal and responsive adult questions, hints, modeling, or environment design.","Agency and exploration sustain engagement while contingent guidance focuses attention on relevant relations.","early-childhood | early-primary","early mathematics | spatial concepts | some task switching","preschool | museum | home | classroom center","Genuine choice | A specific learning goal | Responsive rather than rigid guidance","Evidence is narrow and heterogeneous | Preserve the distinction from free play and scripted direct instruction","Calling any playful-looking worksheet guided play | Assuming superiority for all literacy, social-emotional, or executive-function outcomes","Child-led exploration focused by adaptive guidance; measure=Choice, prompt contingency, persistence, explanation, and target-domain outcome; timing=During play and on a separate target check; caveat=Enjoyment alone does not show concept learning","context-dependent","moderate","Systematic review found benefits for some early math, shape, and switching outcomes, often from few studies, and nulls elsewhere.","direct-intervention","Mainly ages one to eight; strongest for selected early mathematics and spatial outcomes.","contextual-option","Retrieve with an explicit target, real child agency, responsive guidance, and domain-specific measurement.","source:guided-play-review | source:early-childhood-wwc","early-childhood | play | agency | scaffolding"
"pedagogy:responsive-language-interaction","Responsive language interaction and shared reading","tactic","Respond contingently to children's verbal and nonverbal bids and use shared books to build language, print knowledge, and world knowledge through conversation.","Joint attention and conversational turns create production practice, responsive feedback, vocabulary encounters, and links between text and experience.","infancy | early-childhood","oral language | vocabulary | print awareness | knowledge building","home | childcare | preschool","Adult attention to the child's communication | Culturally and linguistically relevant interaction | Accessible books or media","Follow the child's cues while extending language | Value multiple communication styles and home languages","Reducing quality to word counts | Blaming families | Conflating English proficiency with content knowledge","Reciprocal communication and language growth; measure=Turn contingency, child initiations, vocabulary use, print-feature knowledge, and world-knowledge explanation; timing=Across repeated interactions; caveat=Conversational-turn associations do not alone establish causality","strong","moderate","WWC rates planned vocabulary, letter-sound, and shared-reading recommendations strong; broader interaction mechanisms also have institutional support.","mixed-direct-and-inferential","Early childhood; implementation must be culturally and linguistically responsive.","candidate-default-with-fit-check","Use responsive, dialogic interaction with explicit language goals and respect for home language and culture.","source:early-childhood-wwc | source:hpl2","early-childhood | language | reading | culture"
